,,,,,,,,,,,,,,,,,,,,,
,GUIDELINES,,,,,,,,,,,,,,,,,,,,
,ID,Guideline,,,,,,,,,,,,,,,,,,,
,1,All options should be grammatically consistent with the stem and should be parallel in style and form. Non-grammatically correct options provide cues to the students who easily eliminate distracters that do not flow grammatically with the stem.,,,,,,,,,,,,,,,,,,,
,2,Each MCQ should have a clear and focused question. Teachers should avoid using MCQs with unfocused stems which do not ask a clear question or state a clear problem in the sentence completion format.,,,,,,,,,,,,,,,,,,,
,3,"Each MCQ should have the problem in the stem of the question, not in the options. The options should not be a series of true/false statements.",,,,,,,,,,,,,,,,,,,
,4,"The basic format for MCQs is the single best answer. Therefore, ensure that questions have one, and only one, best answer.",,,,,,,,,,,,,,,,,,,
,5,"Avoid gratuitous or unnecessary information in the stem or the options. If a vignette is provided with the MCQ, it should be required to answer the question.",,,,,,,,,,,,,,,,,,,
,6,"Avoid complex, or K-type MCQs. K-type MCQs have a range of correct responses and then ask students to select from a number of possible combinations of these responses. Students can often guess the answer by eliminating one incorrect response and all options containing this response or by selecting the responses which appear most frequently in all of the options.",,,,,,,,,,,,,,,,,,,
,7,"Questions and all options should be written in clear, unambiguous language. Poorly worded or ambiguous questions can confuse even knowledgeable students and cause them to answer incorrectly.",,,,,,,,,,,,,,,,,,,
,8,Make all distracters plausible as plausible distracters are vital to high quality MCQs. Students who do not know the material increase their chances of guessing the correct option by eliminating implausible distracters.,,,,,,,,,,,,,,,,,,,
,9,Avoid repeating words in the stem and the correct option. Similar wording allows students to identify the correct option without knowing the material.,,,,,,,,,,,,,,,,,,,
,10,Avoid providing logical cues in the stem and the correct option that can help the student to identify the correct option without knowing the material. An example of a logical cue is asking students to select the most appropriate pharmaceutical intervention for a problem and only having one or two options which are actually pharmaceutical interventions.,,,,,,,,,,,,,,,,,,,
,11,Avoid convergence cues in options where there are different combinations of multiple components to the answer. Question writers tend to use the correct answers more frequently across all options and students will identify as correct the answer in which all components appear most frequently.,,,,,,,,,,,,,,,,,,,
,12,"All options should be similar in length and amount of detail provided in the option. If one option is longer, includes more detailed information, or it contains more complex language, students can usually correctly assume that this is the correct answer.",,,,,,,,,,,,,,,,,,,
,13,"Arrange MCQ options in alphabetical, chronological, or numerical order. (We assess for chronological and numerical, but not alphabetical order).",,,,,,,,,,,,,,,,,,,
,14,"Options should be worded to avoid the use of absolute terms (e.g., never, always, only, all) as students are taught that there are often no absolute truths in most health science subjects and they can therefore eliminate these distracters.",,,,,,,,,,,,,,,,,,,
,15,"Options should be worded to avoid the use of vague terms (e.g., frequently, occasionally, rarely, usually, commonly) as these terms lack precision and there is seldom agreement on the actual meaning of ‘‘often’’ or ‘‘frequently’’.",,,,,,,,,,,,,,,,,,,
,16,"Avoid the use of negatives (e.g., not, except, incorrect) in the stem as they poorly assess students actual knowledge. If teachers wish to assess contraindications, the questions should be worded clearly to indicate that this is what is being assessed.",,,,,,,,,,,,,,,,,,,
,17,"Avoid the use of ‘‘all of the above’’ as the last option. Students can easily identify if this is the correct answer by simply knowing that at least two of the options are correct. Similarly, they can eliminate it by knowing if only one of the options is incorrect.",,,,,,,,,,,,,,,,,,,
,18,"Avoid the use of ‘‘none of the above’’ as the last option as it only measures students’ ability to detect incorrect answers. Furthermore, if ‘‘none of the above’’ is the correct option, the teacher must be certain that there are no exceptions to any of the options that the student may detect.",,,,,,,,,,,,,,,,,,,
,19,Avoid fill-in-the-blank format whereby a word is omitted in the middle of a sentence and the student must guess the correct word. All options should be placed at the end of the stem.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,RESULTS A,,,,,,,,,,,,,,,,,,,,
,ID,Original Question,Generated Question,Correct Answer,Distractor 1,Distractor 2,Distractor 3,Generated Distractors,Context,,,,,,,,,,,,
,0,"What instrument is used to make very sensitive mass measurements in a laboratory, usually in grams?","What type of balance makes very sensitive mass measurements in a laboratory, usually in grams?",analytical balance,speedometer,thermometer,scale,"['weighing balance', 'weighing scale', 'weighing scale']","An analytical balance makes very sensitive mass measurements in a laboratory, usually in grams.",,,,,,,,,,,,
,1,What is a thin membrane stretched tight across the end of the ear canal that vibrates when sound waves strike it?,What is the head of a drum called?,eardrum,earlobe,cerebrum,auricle,"['ear canal', 'middle ear', 'head of the drum']","The eardrum is like the head of a drum. It’s a thin membrane stretched tight across the end of the ear canal. The eardrum vibrates when sound waves strike it, and it sends the vibrations on to the middle ear.",,,,,,,,,,,,
,2,"Like the frame of a house, what gives the cell an internal structure?","What gives the cell an internal structure, like the frame of a house?",cytoskeleton,cytoplasm,cellulose,endoskeleton,"['filaments', 'cell nuclei', 'tubules']","Cytoskeleton. The cytoskeleton gives the cell an internal structure, like the frame of a house. In this photograph, filaments and tubules of the cytoskeleton are green and red, respectively. The blue dots are cell nuclei.",,,,,,,,,,,,
,3,What causes symptoms associated with sickle-cell disease?,"What are the smallest class of elements, containing just six members: boron (b",pleiotropic effects,genetic drift,spontaneous mutation,transgene effects,"['tellurium (Te)', 'silicon (Si)', 'antimony (Sb)']","Metalloids are the smallest class of elements, containing just six members: boron (B), silicon (Si), germanium (Ge), arsenic (As), antimony (Sb), and tellurium (Te). Metalloids have some properties of metals (elements that can conduct electricity) and some properties of nonmetals (elements that cannot conduct electricity). For example, most metalloids can conduct electricity, but not as well as metals. Metalloids also tend to be shiny like metals, but brittle like nonmetals. Chemically, metalloids may behave like metals or nonmetals, depending on their number of valence electrons. You can learn more about specific metalloids by clicking on the element symbols in the periodic table at this URL: http://www. chemicool. com/ .",,,,,,,,,,,,
,4,What is the purpose of a bird using flashy displays?,Birds often use flashy displays to what?,to attract mates,to protect their territory,to dissuade predators,to signal feeding,"['to play games', 'to play games', 'to play games']",Birds often use flashy displays to attract mates.,,,,,,,,,,,,
,5,What happens to water vapor as it rises?,What happens to water vapor as it rises from earth’s surface into the atmosphere?,it cools,it warms,it vibrates,it disperses,"['it condenses', 'it falls', 'it forms clouds']","The image below shows the role of the atmosphere in the water cycle ( Figure below ). Water vapor rises from Earth’s surface into the atmosphere. As it rises, it cools. The water vapor may then condense into water droplets and form clouds. If enough water droplets collect in clouds, they may come together to form droplets. The droplets will fall as rain. This how freshwater gets from the atmosphere back to Earth's surface.",,,,,,,,,,,,
,6,What is the conversion of a solid to a gas called?,What is the conversion of a solid (relatively high density) to a gas,sublimation,speciation,amplification,education,"['dilution', 'condensation', 'dilution']","(a) Sublimation is the conversion of a solid (relatively high density) to a gas (much lesser density). This process yields a much greater dispersal of matter, since the molecules will occupy a much greater volume after the solid-to-gas transition. (b) Condensation is the conversion of a gas (relatively low density) to a liquid (much greater density). This process yields a much lesser dispersal of matter, since the molecules will occupy a much lesser volume after the solid-to-gas transition. (c) The process in question is dilution. The food dye molecules initially occupy a much smaller volume (the drop of dye solution) than they occupy once the process is complete (in the full glass of water). The process therefore entails a greater dispersal of matter. The process may also yield a more uniform dispersal of matter, since the initial state of the system involves two regions of different dye concentrations (high in the drop, zero in the water), and the final state of the system contains a single dye concentration throughout.",,,,,,,,,,,,
,7,What creates new seafloor in the rift valleys?,What creates new seafloor in the rift valleys?,seafloor spreading,sedimentation,crust spreading,continental drift,"['volcanoes', 'islands', 'hotspots']","Volcanoes erupt at mid-ocean ridges, such as the Mid-Atlantic ridge. Seafloor spreading creates new seafloor in the rift valleys. This type of volcanism makes all of the ocean floor! Where a hotspot is located along the ridge, such as at Iceland, volcanoes grow high enough to create islands ( Figure below ).",,,,,,,,,,,,
,8,Where do mushrooms get their energy?,Mushrooms gain their energy from what?,decomposing dead organisms,killing organisms,accumulating dead organisms,producing dead organisms,"['plants', 'living organisms', 'living organisms']",Mushrooms gain their energy from decomposing dead organisms. Explain why a mushroom is not a plant.,,,,,,,,,,,,
,9,What allows some things to enter the cell while keeping other things out?,What is the window screen like?,cell membrane,cell substrate,cell center,cell vacuum,"['raindrop', 'airmolecule', 'fly']","This window screen has a fly on it. In a way, the window screen is like a cell membrane. It lets some things pass through while keeping other things out. Air molecules and raindrops can pass through the screen, but larger objects like the fly cannot. In the first lesson of this chapter, you'll learn about different ways that substances can pass through the cell membrane. You'll find out how the cell membrane lets some substances pass through while keeping other substances out.",,,,,,,,,,,,
,10,What is telomere shortening associated with?,What is the term for telomere shortening associated with?,aging,sleeping,reducing,changing,"['cell division', 'cell division', 'cell division']","Telomerase is not active in adult somatic cells. Adult somatic cells that undergo cell division continue to have their telomeres shortened. This essentially means that telomere shortening is associated with aging. In 2010, scientists found [1] that telomerase can reverse some age-related conditions in mice, and this may have potential in regenerative medicine. Mariella Jaskelioff, et al. , “Telomerase reactivation reverses tissue degeneration in aged telomerase-deficient mice,” Nature, 469 (2011):102–7.",,,,,,,,,,,,
,11,"Which  organs control the amount of water, ions, and other substances in the blood by excreting more or less of them in urine?",What organs filter all the blood in the body many times each day and produce a total of,kidneys,lungs,tongue,ears,"['heart', 'liver', 'lungs']","The kidneys play many vital roles in homeostasis. They filter all the blood in the body many times each day and produce a total of about 1.5 liters of urine. The kidneys control the amount of water, ions, and other substances in the blood by excreting more or less of them in urine. The kidneys also secrete hormones that help maintain homeostasis. Erythropoietin, for example, is a kidney hormone that stimulates bone marrow to produce red blood cells when more are needed. The kidneys themselves are also regulated by hormones. For example, antidiuretic hormone from the hypothalamus stimulates the kidneys to produce more concentrated urine when the body is low on water.",,,,,,,,,,,,
,12,A ramp is a type of simple machine called what?,What type of machine is a ramp?,inclined plane,extension plane,allow plane,rough plane,"['incline plane', 'sloped plane', 'inclined machine']","Look at the ramp in the Figure below . A ramp is a type of simple machine called an inclined plane. It can be used to raise an object off the ground. The input distance is the length of the sloped surface of the ramp. This is the distance over which the input force is applied. The output distance is the height of the ramp, or the vertical distance the object is raised. For this ramp, the input distance is 6 m and the output distance is 2 meters. Therefore, the ideal mechanical advantage of this ramp is:.",,,,,,,,,,,,
